#
#  Unified Canadian Aboriginal Syllabics:  U+1400 - U+167F
#
#  UCAS has 85 consonant base families
#
#  UCAS has 18 vowel forms:
#
#     E   EE   A   AA  AI  AAI  I  II    O   OO 
#    WE  WEE  WA  WAA          WI  WII  WO  WOO
#
1401;  CANADIAN SYLLABICS E;  1401; 1;  ;  E;  ; 
154B;  CANADIAN SYLLABICS RA;  154B; 1;  R;  A;  ; 
154C;  CANADIAN SYLLABICS RAA;  154B; 2;  R;  AA;  ; 
154D;  CANADIAN SYLLABICS WEST-CREE LA;  154D; 1;  L;  A;  ; 
154E;  CANADIAN SYLLABICS RWAA;  154E; 1;  R;  WAA;  ; 
154F;  CANADIAN SYLLABICS WEST-CREE RWAA;  154E; 2;  R;  WAA;  ; 
1550;  CANADIAN SYLLABICS R;  154E; 3;  R;  ;  ; 
1551;  CANADIAN SYLLABICS WEST-CREE R;  154E; 4;  R;  ;  ; 
1552;  CANADIAN SYLLABICS MEDIAL R;  154E; 5;  R;  ;  ; 
1553;  CANADIAN SYLLABICS FE;  1553; 1;  F;  E;  ; 
1554;  CANADIAN SYLLABICS FAAI;  1553; 2;  F;  AAI;  ; 
1555;  CANADIAN SYLLABICS FI;  1553; 3;  F;  I;  ; 
1556;  CANADIAN SYLLABICS FII;  1553; 4;  F;  II;  ; 
1557;  CANADIAN SYLLABICS FO;  1553; 5;  F;  O;  ; 
1558;  CANADIAN SYLLABICS FOO;  1553; 6;  F;  OO;  ; 
1559;  CANADIAN SYLLABICS FA;  1553; 7;  F;  A;  ; 
155A;  CANADIAN SYLLABICS FAA;  1553; 8;  F;  AA;  ; 
155B;  CANADIAN SYLLABICS FWAA;  1553; 9;  F;  WAA;  ; 
155C;  CANADIAN SYLLABICS WEST-CREE FWAA;  1553; 10;  F;  WAA;  ; 
155D;  CANADIAN SYLLABICS F;  1553; 11;  F;  ;  ; 
155E;  CANADIAN SYLLABICS THE;  155E; 1;  TH;  E;  ; 
155F;  CANADIAN SYLLABICS N-CREE THE;  155E; 2;  TH;  E;  ; 
1560;  CANADIAN SYLLABICS THI;  155E; 3;  TH;  I;  ; 
1561;  CANADIAN SYLLABICS N-CREE THI;  155E; 4;  TH;  I;  ; 
1562;  CANADIAN SYLLABICS THII;  155E; 5;  TH;  II;  ; 
1563;  CANADIAN SYLLABICS N-CREE THII;  155E; 6;  TH;  II;  ; 
1564;  CANADIAN SYLLABICS THO;  155E; 7;  TH;  O;  ; 
1565;  CANADIAN SYLLABICS THOO;  155E; 8;  TH;  OO;  ; 
1566;  CANADIAN SYLLABICS THA;  155E; 9;  TH;  A;  ; 
1567;  CANADIAN SYLLABICS THAA;  155E; 10;  TH;  AA;  ; 
1568;  CANADIAN SYLLABICS THWAA;  155E; 11;  TH;  WAA;  ; 
1569;  CANADIAN SYLLABICS WEST-CREE THWAA;  155E; 12;  TH;  WAA;  ; 
156A;  CANADIAN SYLLABICS TH;  155E; 13;  TH;  ;  ; 
156B;  CANADIAN SYLLABICS TTHE;  156B; 1;  TTH;  E;  ; 
156C;  CANADIAN SYLLABICS TTHI;  156B; 2;  TTH;  I;  ; 
156D;  CANADIAN SYLLABICS TTHO;  156B; 3;  TTH;  O;  ; 
156E;  CANADIAN SYLLABICS TTHA;  156B; 4;  TTH;  A;  ; 
156F;  CANADIAN SYLLABICS TTH;  156B; 5;  TTH;  ;  ; 
1570;  CANADIAN SYLLABICS TYE;  1570; 1;  TY;  E;  ; 
1571;  CANADIAN SYLLABICS TYI;  1570; 2;  TY;  I;  ; 
1572;  CANADIAN SYLLABICS TYO;  1570; 3;  TY;  O;  ; 
1573;  CANADIAN SYLLABICS TYA;  1570; 4;  TY;  A;  ; 
1574;  CANADIAN SYLLABICS NUNAVIK HE;  1574; 1;  H;  E;  ; 
1575;  CANADIAN SYLLABICS NUNAVIK HI;  1574; 2;  H;  I;  ; 
1576;  CANADIAN SYLLABICS NUNAVIK HII;  1574; 3;  H;  II;  ; 
1577;  CANADIAN SYLLABICS NUNAVIK HO;  1574; 4;  H;  O;  ; 
1578;  CANADIAN SYLLABICS NUNAVIK HOO;  1574; 5;  H;  OO;  ; 
1579;  CANADIAN SYLLABICS NUNAVIK HA;  1574; 6;  H;  A;  ; 
157A;  CANADIAN SYLLABICS NUNAVIK HAA;  1574; 7;  H;  AA;  ; 
157B;  CANADIAN SYLLABICS NUNAVIK H;  1574; 8;  H;  ;  ; 
157C;  CANADIAN SYLLABICS NUNAVUT H;  1574; 9;  H;  ;  ; 
157D;  CANADIAN SYLLABICS HK;  157D; 1;  HK;  ;  ; 
157E;  CANADIAN SYLLABICS QAAI;  157E; 1;  Q;  AAI;  ; 
157F;  CANADIAN SYLLABICS QI;  157E; 2;  Q;  I;  ; 
1580;  CANADIAN SYLLABICS QII;  157E; 3;  Q;  II;  ; 
1581;  CANADIAN SYLLABICS QO;  157E; 4;  Q;  O;  ; 
1582;  CANADIAN SYLLABICS QOO;  157E; 5;  Q;  OO;  ; 
1583;  CANADIAN SYLLABICS QA;  157E; 6;  Q;  A;  ; 
1584;  CANADIAN SYLLABICS QAA;  157E; 7;  Q;  AA;  ; 
1585;  CANADIAN SYLLABICS Q;  157E; 8;  Q;  ;  ; 
1586;  CANADIAN SYLLABICS TLHE;  1586; 1;  TLH;  E;  ; 
1587;  CANADIAN SYLLABICS TLHI;  1586; 2;  TLH;  I;  ; 
1588;  CANADIAN SYLLABICS TLHO;  1586; 3;  TLH;  O;  ; 
1589;  CANADIAN SYLLABICS TLHA;  1586; 4;  TLH;  A;  ; 
158A;  CANADIAN SYLLABICS WEST-CREE RE;  158A; 1;  R;  E;  ; 
158B;  CANADIAN SYLLABICS WEST-CREE RI;  158A; 2;  R;  I;  ; 
158C;  CANADIAN SYLLABICS WEST-CREE RO;  158A; 3;  R;  O;  ; 
158D;  CANADIAN SYLLABICS WEST-CREE RA;  158A; 4;  R;  A;  ; 
158E;  CANADIAN SYLLABICS NGAAI;  158E; 1;  NG;  AAI;  ; 
158F;  CANADIAN SYLLABICS NGI;  158E; 2;  NG;  I;  ; 
1590;  CANADIAN SYLLABICS NGII;  158E; 3;  NG;  II;  ; 
1591;  CANADIAN SYLLABICS NGO;  158E; 4;  NG;  O;  ; 
1592;  CANADIAN SYLLABICS NGOO;  158E; 5;  NG;  OO;  ; 
1593;  CANADIAN SYLLABICS NGA;  158E; 6;  NG;  A;  ; 
1594;  CANADIAN SYLLABICS NGAA;  158E; 7;  NG;  AA;  ; 
1595;  CANADIAN SYLLABICS NG;  158E; 8;  NG;  ;  ; 
1596;  CANADIAN SYLLABICS NNG;  1596; 1;  NNG;  ;  ; 
1597;  CANADIAN SYLLABICS SAYISI SHE;  1597; 1;  SH;  E;  ; 
1598;  CANADIAN SYLLABICS SAYISI SHI;  1597; 2;  SH;  I;  ; 
1599;  CANADIAN SYLLABICS SAYISI SHO;  1597; 3;  SH;  O;  ; 
159A;  CANADIAN SYLLABICS SAYISI SHA;  1597; 4;  SH;  A;  ; 
159B;  CANADIAN SYLLABICS WOODS-CREE THE;  159B; 1;  TH;  E;  ; 
159C;  CANADIAN SYLLABICS WOODS-CREE THI;  159B; 2;  TH;  I;  ; 
159D;  CANADIAN SYLLABICS WOODS-CREE THO;  159B; 3;  TH;  O;  ; 
159E;  CANADIAN SYLLABICS WOODS-CREE THA;  159B; 4;  TH;  A;  ; 
159F;  CANADIAN SYLLABICS WOODS-CREE TH;  159B; 5;  TH;  ;  ; 
15A0;  CANADIAN SYLLABICS LHI;  15A0; 1;  LH;  I;  ; 
15A1;  CANADIAN SYLLABICS LHII;  15A0; 2;  LH;  II;  ; 
15A2;  CANADIAN SYLLABICS LHO;  15A0; 3;  LH;  O;  ; 
15A3;  CANADIAN SYLLABICS LHOO;  15A0; 4;  LH;  OO;  ; 
15A4;  CANADIAN SYLLABICS LHA;  15A0; 5;  LH;  A;  ; 
15A5;  CANADIAN SYLLABICS LHAA;  15A0; 6;  LH;  AA;  ; 
15A6;  CANADIAN SYLLABICS LH;  15A0; 7;  LH;  ;  ; 
15A7;  CANADIAN SYLLABICS TH-CREE THE;  15A7; 1;  TH;  E;  ; 
15A8;  CANADIAN SYLLABICS TH-CREE THI;  15A7; 2;  TH;  I;  ; 
15A9;  CANADIAN SYLLABICS TH-CREE THII;  15A7; 3;  TH;  II;  ; 
15AA;  CANADIAN SYLLABICS TH-CREE THO;  15A7; 4;  TH;  O;  ; 
15AB;  CANADIAN SYLLABICS TH-CREE THOO;  15A7; 5;  TH;  OO;  ; 
15AC;  CANADIAN SYLLABICS TH-CREE THA;  15A7; 6;  TH;  A;  ; 
15AD;  CANADIAN SYLLABICS TH-CREE THAA;  15A7; 7;  TH;  AA;  ; 
15AE;  CANADIAN SYLLABICS TH-CREE TH;  15A7; 8;  TH;  ;  ; 
15AF;  CANADIAN SYLLABICS AIVILIK B;  15AF; 1;  B;  ;  ; 
15B0;  CANADIAN SYLLABICS BLACKFOOT E;  15B0; 1;  ;  E;  ; 
15B1;  CANADIAN SYLLABICS BLACKFOOT I;  15B0; 2;  ;  I;  ; 
15B2;  CANADIAN SYLLABICS BLACKFOOT O;  15B0; 3;  ;  O;  ; 
15B3;  CANADIAN SYLLABICS BLACKFOOT A;  15B0; 4;  ;  A;  ; 
15B4;  CANADIAN SYLLABICS BLACKFOOT WE;  15B0; 5;  ;  E;  ; 
15B5;  CANADIAN SYLLABICS BLACKFOOT WI;  15B0; 6;  ;  I;  ; 
15B6;  CANADIAN SYLLABICS BLACKFOOT WO;  15B0; 7;  ;  O;  ; 
15B7;  CANADIAN SYLLABICS BLACKFOOT WA;  15B0; 8;  ;  A;  ; 
15B8;  CANADIAN SYLLABICS BLACKFOOT NE;  15B8; 1;  N;  E;  ; 
15B9;  CANADIAN SYLLABICS BLACKFOOT NI;  15B8; 2;  N;  I;  ; 
15BA;  CANADIAN SYLLABICS BLACKFOOT NO;  15B8; 3;  N;  O;  ; 
15BB;  CANADIAN SYLLABICS BLACKFOOT NA;  15B8; 4;  N;  A;  ; 
15BC;  CANADIAN SYLLABICS BLACKFOOT KE;  15BC; 1;  K;  E;  ; 
15BD;  CANADIAN SYLLABICS BLACKFOOT KI;  15BC; 2;  K;  I;  ; 
15BE;  CANADIAN SYLLABICS BLACKFOOT KO;  15BC; 3;  K;  O;  ; 
15BF;  CANADIAN SYLLABICS BLACKFOOT KA;  15BC; 4;  K;  A;  ; 
15C0;  CANADIAN SYLLABICS SAYISI HE;  15C0; 1;  H;  E;  ; 
15C1;  CANADIAN SYLLABICS SAYISI HI;  15C0; 2;  H;  I;  ; 
15C2;  CANADIAN SYLLABICS SAYISI HO;  15C0; 3;  H;  O;  ; 
15C3;  CANADIAN SYLLABICS SAYISI HA;  15C0; 4;  H;  A;  ; 
15C4;  CANADIAN SYLLABICS CARRIER GHU;  15C4; 1;  GH;  U;  ; 
15C5;  CANADIAN SYLLABICS CARRIER GHO;  15C4; 2;  GH;  O;  ; 
15C6;  CANADIAN SYLLABICS CARRIER GHE;  15C4; 3;  GH;  E;  ; 
15C7;  CANADIAN SYLLABICS CARRIER GHEE;  15C4; 4;  GH;  EE;  ; 
15C8;  CANADIAN SYLLABICS CARRIER GHI;  15C4; 5;  GH;  I;  ; 
15C9;  CANADIAN SYLLABICS CARRIER GHA;  15C4; 6;  GH;  A;  ; 
15CA;  CANADIAN SYLLABICS CARRIER RU;  15CA; 1;  R;  U;  ; 
15CB;  CANADIAN SYLLABICS CARRIER RO;  15CA; 2;  R;  O;  ; 
15CC;  CANADIAN SYLLABICS CARRIER RE;  15CA; 3;  R;  E;  ; 
15CD;  CANADIAN SYLLABICS CARRIER REE;  15CA; 4;  R;  EE;  ; 
15CE;  CANADIAN SYLLABICS CARRIER RI;  15CA; 5;  R;  I;  ; 
15CF;  CANADIAN SYLLABICS CARRIER RA;  15CA; 6;  R;  A;  ; 
15D0;  CANADIAN SYLLABICS CARRIER WU;  15D0; 1;  W;  U;  ; 
15D1;  CANADIAN SYLLABICS CARRIER WO;  15D0; 2;  W;  O;  ; 
15D2;  CANADIAN SYLLABICS CARRIER WE;  15D0; 3;  W;  E;  ; 
15D3;  CANADIAN SYLLABICS CARRIER WEE;  15D0; 4;  W;  EE;  ; 
15D4;  CANADIAN SYLLABICS CARRIER WI;  15D0; 5;  W;  I;  ; 
15D5;  CANADIAN SYLLABICS CARRIER WA;  15D0; 6;  W;  A;  ; 
15D6;  CANADIAN SYLLABICS CARRIER HWU;  15D6; 1;  H;  WU;  ; 
15D7;  CANADIAN SYLLABICS CARRIER HWO;  15D6; 2;  H;  WO;  ; 
15D8;  CANADIAN SYLLABICS CARRIER HWE;  15D6; 3;  H;  WE;  ; 
15D9;  CANADIAN SYLLABICS CARRIER HWEE;  15D6; 4;  H;  WEE;  ; 
15DA;  CANADIAN SYLLABICS CARRIER HWI;  15D6; 5;  H;  WI;  ; 
15DB;  CANADIAN SYLLABICS CARRIER HWA;  15D6; 6;  H;  WA;  ; 
15DC;  CANADIAN SYLLABICS CARRIER THU;  15DC; 1;  TH;  U;  ; 
15DD;  CANADIAN SYLLABICS CARRIER THO;  15DC; 2;  TH;  O;  ; 
15DE;  CANADIAN SYLLABICS CARRIER THE;  15DC; 3;  TH;  E;  ; 
15DF;  CANADIAN SYLLABICS CARRIER THEE;  15DC; 4;  TH;  EE;  ; 
15E0;  CANADIAN SYLLABICS CARRIER THI;  15DC; 5;  TH;  I;  ; 
15E1;  CANADIAN SYLLABICS CARRIER THA;  15DC; 6;  TH;  A;  ; 
15E2;  CANADIAN SYLLABICS CARRIER TTU;  15E2; 1;  TT;  U;  ; 
15E3;  CANADIAN SYLLABICS CARRIER TTO;  15E2; 2;  TT;  O;  ; 
15E4;  CANADIAN SYLLABICS CARRIER TTE;  15E2; 3;  TT;  E;  ; 
15E5;  CANADIAN SYLLABICS CARRIER TTEE;  15E2; 4;  TT;  EE;  ; 
15E6;  CANADIAN SYLLABICS CARRIER TTI;  15E2; 5;  TT;  I;  ; 
15E7;  CANADIAN SYLLABICS CARRIER TTA;  15E2; 6;  TT;  A;  ; 
15E8;  CANADIAN SYLLABICS CARRIER PU;  15E8; 1;  P;  U;  ; 
15E9;  CANADIAN SYLLABICS CARRIER PO;  15E8; 2;  P;  O;  ; 
15EA;  CANADIAN SYLLABICS CARRIER PE;  15E8; 3;  P;  E;  ; 
15EB;  CANADIAN SYLLABICS CARRIER PEE;  15E8; 4;  P;  EE;  ; 
15EC;  CANADIAN SYLLABICS CARRIER PI;  15E8; 5;  P;  I;  ; 
15ED;  CANADIAN SYLLABICS CARRIER PA;  15E8; 6;  P;  A;  ; 
15EE;  CANADIAN SYLLABICS CARRIER P;  15E8; 7;  P;  ;  ; 
15EF;  CANADIAN SYLLABICS CARRIER GU;  15EF; 1;  G;  U;  ; 
15F0;  CANADIAN SYLLABICS CARRIER GO;  15EF; 2;  G;  O;  ; 
15F1;  CANADIAN SYLLABICS CARRIER GE;  15EF; 3;  G;  E;  ; 
15F2;  CANADIAN SYLLABICS CARRIER GEE;  15EF; 4;  G;  EE;  ; 
15F3;  CANADIAN SYLLABICS CARRIER GI;  15EF; 5;  G;  I;  ; 
15F4;  CANADIAN SYLLABICS CARRIER GA;  15EF; 6;  G;  A;  ; 
15F5;  CANADIAN SYLLABICS CARRIER KHU;  15F5; 1;  KH;  U;  ; 
15F6;  CANADIAN SYLLABICS CARRIER KHO;  15F5; 2;  KH;  O;  ; 
15F7;  CANADIAN SYLLABICS CARRIER KHE;  15F5; 3;  KH;  E;  ; 
15F8;  CANADIAN SYLLABICS CARRIER KHEE;  15F5; 4;  KH;  EE;  ; 
15F9;  CANADIAN SYLLABICS CARRIER KHI;  15F5; 5;  KH;  I;  ; 
15FA;  CANADIAN SYLLABICS CARRIER KHA;  15F5; 6;  KH;  A;  ; 
15FB;  CANADIAN SYLLABICS CARRIER KKU;  15FB; 1;  KK;  U;  ; 
15FC;  CANADIAN SYLLABICS CARRIER KKO;  15FB; 2;  KK;  O;  ; 
15FD;  CANADIAN SYLLABICS CARRIER KKE;  15FB; 3;  KK;  E;  ; 
15FE;  CANADIAN SYLLABICS CARRIER KKEE;  15FB; 4;  KK;  EE;  ; 
15FF;  CANADIAN SYLLABICS CARRIER KKI;  15FB; 5;  KK;  I;  ; 
1600;  CANADIAN SYLLABICS CARRIER KKA;  15FB; 6;  KK;  A;  ; 
1601;  CANADIAN SYLLABICS CARRIER KK;  15FB; 7;  KK;  ;  ; 
1602;  CANADIAN SYLLABICS CARRIER NU;  1602; 1;  N;  U;  ; 
1603;  CANADIAN SYLLABICS CARRIER NO;  1602; 2;  N;  O;  ; 
1604;  CANADIAN SYLLABICS CARRIER NE;  1602; 3;  N;  E;  ; 
1605;  CANADIAN SYLLABICS CARRIER NEE;  1602; 4;  N;  EE;  ; 
1606;  CANADIAN SYLLABICS CARRIER NI;  1602; 5;  N;  I;  ; 
1607;  CANADIAN SYLLABICS CARRIER NA;  1602; 6;  N;  A;  ; 
1608;  CANADIAN SYLLABICS CARRIER MU;  1608; 1;  M;  U;  ; 
1609;  CANADIAN SYLLABICS CARRIER MO;  1608; 2;  M;  O;  ; 
160A;  CANADIAN SYLLABICS CARRIER ME;  1608; 3;  M;  E;  ; 
160B;  CANADIAN SYLLABICS CARRIER MEE;  1608; 4;  M;  EE;  ; 
160C;  CANADIAN SYLLABICS CARRIER MI;  1608; 5;  M;  I;  ; 
160D;  CANADIAN SYLLABICS CARRIER MA;  1608; 6;  M;  A;  ; 
160E;  CANADIAN SYLLABICS CARRIER YU;  160E; 1;  Y;  U;  ; 
160F;  CANADIAN SYLLABICS CARRIER YO;  160E; 2;  Y;  O;  ; 
1610;  CANADIAN SYLLABICS CARRIER YE;  160E; 3;  Y;  E;  ; 
1611;  CANADIAN SYLLABICS CARRIER YEE;  160E; 4;  Y;  EE;  ; 
1612;  CANADIAN SYLLABICS CARRIER YI;  160E; 5;  Y;  I;  ; 
1613;  CANADIAN SYLLABICS CARRIER YA;  160E; 6;  Y;  A;  ; 
1614;  CANADIAN SYLLABICS CARRIER JU;  1614; 1;  J;  U;  ; 
1615;  CANADIAN SYLLABICS SAYISI JU;  1614; 2;  J;  U;  ; 
1616;  CANADIAN SYLLABICS CARRIER JO;  1614; 3;  J;  O;  ; 
1617;  CANADIAN SYLLABICS CARRIER JE;  1614; 4;  J;  E;  ; 
1618;  CANADIAN SYLLABICS CARRIER JEE;  1614; 5;  J;  EE;  ; 
1619;  CANADIAN SYLLABICS CARRIER JI;  1614; 6;  J;  I;  ; 
161A;  CANADIAN SYLLABICS SAYISI JI;  1614; 7;  J;  I;  ; 
161B;  CANADIAN SYLLABICS CARRIER JA;  1614; 8;  J;  A;  ; 
161C;  CANADIAN SYLLABICS CARRIER JJU;  161C; 1;  JJ;  U;  ; 
161D;  CANADIAN SYLLABICS CARRIER JJO;  161C; 2;  JJ;  O;  ; 
161E;  CANADIAN SYLLABICS CARRIER JJE;  161C; 3;  JJ;  E;  ; 
161F;  CANADIAN SYLLABICS CARRIER JJEE;  161C; 4;  JJ;  EE;  ; 
1620;  CANADIAN SYLLABICS CARRIER JJI;  161C; 5;  JJ;  I;  ; 
1621;  CANADIAN SYLLABICS CARRIER JJA;  161C; 6;  JJ;  A;  ; 
1622;  CANADIAN SYLLABICS CARRIER LU;  1622; 1;  L;  U;  ; 
1623;  CANADIAN SYLLABICS CARRIER LO;  1622; 2;  L;  O;  ; 
1624;  CANADIAN SYLLABICS CARRIER LE;  1622; 3;  L;  E;  ; 
1625;  CANADIAN SYLLABICS CARRIER LEE;  1622; 4;  L;  EE;  ; 
1626;  CANADIAN SYLLABICS CARRIER LI;  1622; 5;  L;  I;  ; 
1627;  CANADIAN SYLLABICS CARRIER LA;  1622; 6;  L;  A;  ; 
1628;  CANADIAN SYLLABICS CARRIER DLU;  1628; 1;  DL;  U;  ; 
1629;  CANADIAN SYLLABICS CARRIER DLO;  1628; 2;  DL;  O;  ; 
162A;  CANADIAN SYLLABICS CARRIER DLE;  1628; 3;  DL;  E;  ; 
162B;  CANADIAN SYLLABICS CARRIER DLEE;  1628; 4;  DL;  EE;  ; 
162C;  CANADIAN SYLLABICS CARRIER DLI;  1628; 5;  DL;  I;  ; 
162D;  CANADIAN SYLLABICS CARRIER DLA;  1628; 6;  DL;  A;  ; 
162E;  CANADIAN SYLLABICS CARRIER LHU;  162E; 1;  LH;  U;  ; 
162F;  CANADIAN SYLLABICS CARRIER LHO;  162E; 2;  LH;  O;  ; 
1630;  CANADIAN SYLLABICS CARRIER LHE;  162E; 3;  LH;  E;  ; 
1631;  CANADIAN SYLLABICS CARRIER LHEE;  162E; 4;  LH;  EE;  ; 
1632;  CANADIAN SYLLABICS CARRIER LHI;  162E; 5;  LH;  I;  ; 
1633;  CANADIAN SYLLABICS CARRIER LHA;  162E; 6;  LH;  A;  ; 
1634;  CANADIAN SYLLABICS CARRIER TLHU;  1634; 1;  TLH;  U;  ; 
1635;  CANADIAN SYLLABICS CARRIER TLHO;  1634; 2;  TLH;  O;  ; 
1636;  CANADIAN SYLLABICS CARRIER TLHE;  1634; 3;  TLH;  E;  ; 
1637;  CANADIAN SYLLABICS CARRIER TLHEE;  1634; 4;  TLH;  EE;  ; 
1638;  CANADIAN SYLLABICS CARRIER TLHI;  1634; 5;  TLH;  I;  ; 
1639;  CANADIAN SYLLABICS CARRIER TLHA;  1634; 6;  TLH;  A;  ; 
163A;  CANADIAN SYLLABICS CARRIER TLU;  163A; 1;  TL;  U;  ; 
163B;  CANADIAN SYLLABICS CARRIER TLO;  163A; 2;  TL;  O;  ; 
163C;  CANADIAN SYLLABICS CARRIER TLE;  163A; 3;  TL;  E;  ; 
163D;  CANADIAN SYLLABICS CARRIER TLEE;  163A; 4;  TL;  EE;  ; 
163E;  CANADIAN SYLLABICS CARRIER TLI;  163A; 5;  TL;  I;  ; 
163F;  CANADIAN SYLLABICS CARRIER TLA;  163A; 6;  TL;  A;  ; 
1640;  CANADIAN SYLLABICS CARRIER ZU;  1640; 1;  Z;  U;  ; 
1641;  CANADIAN SYLLABICS CARRIER ZO;  1640; 2;  Z;  O;  ; 
1642;  CANADIAN SYLLABICS CARRIER ZE;  1640; 3;  Z;  E;  ; 
1643;  CANADIAN SYLLABICS CARRIER ZEE;  1640; 4;  Z;  EE;  ; 
1644;  CANADIAN SYLLABICS CARRIER ZI;  1640; 5;  Z;  I;  ; 
1645;  CANADIAN SYLLABICS CARRIER ZA;  1640; 6;  Z;  A;  ; 
1646;  CANADIAN SYLLABICS CARRIER Z;  1640; 7;  Z;  ;  ; 
1647;  CANADIAN SYLLABICS CARRIER INITIAL Z;  1640; 8;  Z;  ;  ; 
1648;  CANADIAN SYLLABICS CARRIER DZU;  1648; 1;  DZ;  U;  ; 
1649;  CANADIAN SYLLABICS CARRIER DZO;  1648; 2;  DZ;  O;  ; 
164A;  CANADIAN SYLLABICS CARRIER DZE;  1648; 3;  DZ;  E;  ; 
164B;  CANADIAN SYLLABICS CARRIER DZEE;  1648; 4;  DZ;  EE;  ; 
164C;  CANADIAN SYLLABICS CARRIER DZI;  1648; 5;  DZ;  I;  ; 
164D;  CANADIAN SYLLABICS CARRIER DZA;  1648; 6;  DZ;  A;  ; 
164E;  CANADIAN SYLLABICS CARRIER SU;  164E; 1;  S;  U;  ; 
164F;  CANADIAN SYLLABICS CARRIER SO;  164E; 2;  S;  O;  ; 
1650;  CANADIAN SYLLABICS CARRIER SE;  164E; 3;  S;  E;  ; 
1651;  CANADIAN SYLLABICS CARRIER SEE;  164E; 4;  S;  EE;  ; 
1652;  CANADIAN SYLLABICS CARRIER SI;  164E; 5;  S;  I;  ; 
1653;  CANADIAN SYLLABICS CARRIER SA;  164E; 6;  S;  A;  ; 
1654;  CANADIAN SYLLABICS CARRIER SHU;  1654; 1;  SH;  U;  ; 
1655;  CANADIAN SYLLABICS CARRIER SHO;  1654; 2;  SH;  O;  ; 
1656;  CANADIAN SYLLABICS CARRIER SHE;  1654; 3;  SH;  E;  ; 
1657;  CANADIAN SYLLABICS CARRIER SHEE;  1654; 4;  SH;  EE;  ; 
1658;  CANADIAN SYLLABICS CARRIER SHI;  1654; 5;  SH;  I;  ; 
1659;  CANADIAN SYLLABICS CARRIER SHA;  1654; 6;  SH;  A;  ; 
165A;  CANADIAN SYLLABICS CARRIER SH;  1654; 7;  SH;  ;  ; 
165B;  CANADIAN SYLLABICS CARRIER TSU;  165B; 1;  TS;  U;  ; 
165C;  CANADIAN SYLLABICS CARRIER TSO;  165B; 2;  TS;  O;  ; 
165D;  CANADIAN SYLLABICS CARRIER TSE;  165B; 3;  TS;  E;  ; 
165E;  CANADIAN SYLLABICS CARRIER TSEE;  165B; 4;  TS;  EE;  ; 
165F;  CANADIAN SYLLABICS CARRIER TSI;  165B; 5;  TS;  I;  ; 
1660;  CANADIAN SYLLABICS CARRIER TSA;  165B; 6;  TS;  A;  ; 
1661;  CANADIAN SYLLABICS CARRIER CHU;  1661; 1;  CH;  U;  ; 
1662;  CANADIAN SYLLABICS CARRIER CHO;  1661; 2;  CH;  O;  ; 
1663;  CANADIAN SYLLABICS CARRIER CHE;  1661; 3;  CH;  E;  ; 
1664;  CANADIAN SYLLABICS CARRIER CHEE;  1661; 4;  CH;  EE;  ; 
1665;  CANADIAN SYLLABICS CARRIER CHI;  1661; 5;  CH;  I;  ; 
1666;  CANADIAN SYLLABICS CARRIER CHA;  1661; 6;  CH;  A;  ; 
1667;  CANADIAN SYLLABICS CARRIER TTSU;  1667; 1;  TTS;  U;  ; 
1668;  CANADIAN SYLLABICS CARRIER TTSO;  1667; 2;  TTS;  O;  ; 
1669;  CANADIAN SYLLABICS CARRIER TTSE;  1667; 3;  TTS;  E;  ; 
166A;  CANADIAN SYLLABICS CARRIER TTSEE;  1667; 4;  TTS;  EE;  ; 
166B;  CANADIAN SYLLABICS CARRIER TTSI;  1667; 5;  TTS;  I;  ; 
166C;  CANADIAN SYLLABICS CARRIER TTSA;  1667; 6;  TTS;  A;  ; 
166F;  CANADIAN SYLLABICS QAI;  166F; 1;  Q;  AI;  ; 
1670;  CANADIAN SYLLABICS NGAI;  1670; 1;  NG;  AI;  ; 
1671;  CANADIAN SYLLABICS NNGI;  1671; 1;  NNG;  I;  ; 
1672;  CANADIAN SYLLABICS NNGII;  1671; 2;  NNG;  II;  ; 
1673;  CANADIAN SYLLABICS NNGO;  1671; 3;  NNG;  O;  ; 
1674;  CANADIAN SYLLABICS NNGOO;  1671; 4;  NNG;  OO;  ; 
1675;  CANADIAN SYLLABICS NNGA;  1671; 5;  NNG;  A;  ; 
1676;  CANADIAN SYLLABICS NNGAA;  1671; 6;  NNG;  AA;  ; 
