#
#  Unified Canadian Aboriginal Syllabics:  U+1400 - U+167F
#
#  UCAS has 85 consonant base families in 21 vowles and 21 forms.
#
#  UCAS has:
#    85 syllabic classes in 21 forms.
#    44 consonant bases in 22 vowels.
#
1401;  CANADIAN SYLLABICS E;  1401;  1;  ;  e;  
1549;  CANADIAN SYLLABICS ROO;  1545;  6;  r;  o<02D0>;  
154A;  CANADIAN SYLLABICS WEST-CREE LO;  154A;  5;  l;  o;  
154B;  CANADIAN SYLLABICS RA;  154B;  7;  r;  a;  
154C;  CANADIAN SYLLABICS RAA;  154B;  8;  r;  a<02D0>;  
154D;  CANADIAN SYLLABICS WEST-CREE LA;  154D;  7;  l;  a;  
154E;  CANADIAN SYLLABICS RWAA;  154E;  15;  r;  <02B7>a<02D0>;  
154F;  CANADIAN SYLLABICS WEST-CREE RWAA;  154E;  15;  r;  <02B7>a<02D0>;  
1550;  CANADIAN SYLLABICS R;  154E;  16;  r;  
1551;  CANADIAN SYLLABICS WEST-CREE R;  154E;  16;  r;  
1552;  CANADIAN SYLLABICS MEDIAL R;  154E;  16;  r;  
1553;  CANADIAN SYLLABICS FE;  1553;  1;  f;  e;  
1554;  CANADIAN SYLLABICS FAAI;  1553;  2;  f;  aai;  
1555;  CANADIAN SYLLABICS FI;  1553;  3;  f;  i;  
1556;  CANADIAN SYLLABICS FII;  1553;  4;  f;  i<02D0>;  
1557;  CANADIAN SYLLABICS FO;  1553;  5;  f;  o;  
1558;  CANADIAN SYLLABICS FOO;  1553;  6;  f;  o<02D0>;  
1559;  CANADIAN SYLLABICS FA;  1553;  7;  f;  a;  
155A;  CANADIAN SYLLABICS FAA;  1553;  8;  f;  a<02D0>;  
155B;  CANADIAN SYLLABICS FWAA;  1553;  15;  f;  <02B7>a<02D0>;  
155C;  CANADIAN SYLLABICS WEST-CREE FWAA;  1553;  15;  f;  <02B7>a<02D0>;  
155D;  CANADIAN SYLLABICS F;  1553;  16;  f;  
155E;  CANADIAN SYLLABICS THE;  155E;  1;  <0398>;  e;  
155F;  CANADIAN SYLLABICS N-CREE THE;  155E;  1;  <0398>;  e;  
1560;  CANADIAN SYLLABICS THI;  155E;  3;  <0398>;  i;  
1561;  CANADIAN SYLLABICS N-CREE THI;  155E;  3;  <0398>;  i;  
1562;  CANADIAN SYLLABICS THII;  155E;  4;  <0398>;  i<02D0>;  
1563;  CANADIAN SYLLABICS N-CREE THII;  155E;  4;  <0398>;  i<02D0>;  
1564;  CANADIAN SYLLABICS THO;  155E;  5;  <0398>;  o;  
1565;  CANADIAN SYLLABICS THOO;  155E;  6;  <0398>;  o<02D0>;  
1566;  CANADIAN SYLLABICS THA;  155E;  7;  <0398>;  a;  
1567;  CANADIAN SYLLABICS THAA;  155E;  8;  <0398>;  a<02D0>;  
1568;  CANADIAN SYLLABICS THWAA;  155E;  15;  <0398>;  <02B7>a<02D0>;  
1569;  CANADIAN SYLLABICS WEST-CREE THWAA;  155E;  15;  <0398>;  <02B7>a<02D0>;  
156A;  CANADIAN SYLLABICS TH;  155E;  16;  <0398>;  
156B;  CANADIAN SYLLABICS TTHE;  156B;  1;  tth;  e;  
156C;  CANADIAN SYLLABICS TTHI;  156B;  3;  tth;  i;  
156D;  CANADIAN SYLLABICS TTHO;  156B;  5;  tth;  o;  
156E;  CANADIAN SYLLABICS TTHA;  156B;  7;  tth;  a;  
156F;  CANADIAN SYLLABICS TTH;  156B;  16;  tth;  
1570;  CANADIAN SYLLABICS TYE;  1570;  1;  ty;  e;  
1571;  CANADIAN SYLLABICS TYI;  1570;  3;  ty;  i;  
1572;  CANADIAN SYLLABICS TYO;  1570;  5;  ty;  o;  
1573;  CANADIAN SYLLABICS TYA;  1570;  7;  ty;  a;  
1574;  CANADIAN SYLLABICS NUNAVIK HE;  1574;  1;  h;  e;  
1575;  CANADIAN SYLLABICS NUNAVIK HI;  1574;  3;  h;  i;  
1576;  CANADIAN SYLLABICS NUNAVIK HII;  1574;  4;  h;  i<02D0>;  
1577;  CANADIAN SYLLABICS NUNAVIK HO;  1574;  5;  h;  o;  
1578;  CANADIAN SYLLABICS NUNAVIK HOO;  1574;  6;  h;  o<02D0>;  
1579;  CANADIAN SYLLABICS NUNAVIK HA;  1574;  7;  h;  a;  
157A;  CANADIAN SYLLABICS NUNAVIK HAA;  1574;  8;  h;  a<02D0>;  
157B;  CANADIAN SYLLABICS NUNAVIK H;  1574;  16;  h;  
157C;  CANADIAN SYLLABICS NUNAVUT H;  1574;  16;  h;  
157D;  CANADIAN SYLLABICS HK;  157D;  16;  hk;  
157E;  CANADIAN SYLLABICS QAAI;  157E;  2;  q;  aai;  
157F;  CANADIAN SYLLABICS QI;  157E;  3;  q;  i;  
1580;  CANADIAN SYLLABICS QII;  157E;  4;  q;  i<02D0>;  
1581;  CANADIAN SYLLABICS QO;  157E;  5;  q;  o;  
1582;  CANADIAN SYLLABICS QOO;  157E;  6;  q;  o<02D0>;  
1583;  CANADIAN SYLLABICS QA;  157E;  7;  q;  a;  
1584;  CANADIAN SYLLABICS QAA;  157E;  8;  q;  a<02D0>;  
1585;  CANADIAN SYLLABICS Q;  157E;  16;  q;  
1586;  CANADIAN SYLLABICS TLHE;  1586;  1;  tlh;  e;  
1587;  CANADIAN SYLLABICS TLHI;  1586;  3;  tlh;  i;  
1588;  CANADIAN SYLLABICS TLHO;  1586;  5;  tlh;  o;  
1589;  CANADIAN SYLLABICS TLHA;  1586;  7;  tlh;  a;  
158A;  CANADIAN SYLLABICS WEST-CREE RE;  158A;  1;  r;  e;  
158B;  CANADIAN SYLLABICS WEST-CREE RI;  158A;  3;  r;  i;  
158C;  CANADIAN SYLLABICS WEST-CREE RO;  158A;  5;  r;  o;  
158D;  CANADIAN SYLLABICS WEST-CREE RA;  158A;  7;  r;  a;  
158E;  CANADIAN SYLLABICS NGAAI;  158E;  2;  <014B>;  aai;  
158F;  CANADIAN SYLLABICS NGI;  158E;  3;  <014B>;  i;  
1590;  CANADIAN SYLLABICS NGII;  158E;  4;  <014B>;  i<02D0>;  
1591;  CANADIAN SYLLABICS NGO;  158E;  5;  <014B>;  o;  
1592;  CANADIAN SYLLABICS NGOO;  158E;  6;  <014B>;  o<02D0>;  
1593;  CANADIAN SYLLABICS NGA;  158E;  7;  <014B>;  a;  
1594;  CANADIAN SYLLABICS NGAA;  158E;  8;  <014B>;  a<02D0>;  
1595;  CANADIAN SYLLABICS NG;  158E;  16;  <014B>;  
1596;  CANADIAN SYLLABICS NNG;  1596;  16;  nng;  
1597;  CANADIAN SYLLABICS SAYISI SHE;  1597;  1;  <0283>;  e;  
1598;  CANADIAN SYLLABICS SAYISI SHI;  1597;  3;  <0283>;  i;  
1599;  CANADIAN SYLLABICS SAYISI SHO;  1597;  5;  <0283>;  o;  
159A;  CANADIAN SYLLABICS SAYISI SHA;  1597;  7;  <0283>;  a;  
159B;  CANADIAN SYLLABICS WOODS-CREE THE;  159B;  1;  <0398>;  e;  
159C;  CANADIAN SYLLABICS WOODS-CREE THI;  159B;  3;  <0398>;  i;  
159D;  CANADIAN SYLLABICS WOODS-CREE THO;  159B;  5;  <0398>;  o;  
159E;  CANADIAN SYLLABICS WOODS-CREE THA;  159B;  7;  <0398>;  a;  
159F;  CANADIAN SYLLABICS WOODS-CREE TH;  159B;  16;  <0398>;  
15A0;  CANADIAN SYLLABICS LHI;  15A0;  3;  lh;  i;  
15A1;  CANADIAN SYLLABICS LHII;  15A0;  4;  lh;  i<02D0>;  
15A2;  CANADIAN SYLLABICS LHO;  15A0;  5;  lh;  o;  
15A3;  CANADIAN SYLLABICS LHOO;  15A0;  6;  lh;  o<02D0>;  
15A4;  CANADIAN SYLLABICS LHA;  15A0;  7;  lh;  a;  
15A5;  CANADIAN SYLLABICS LHAA;  15A0;  8;  lh;  a<02D0>;  
15A6;  CANADIAN SYLLABICS LH;  15A0;  16;  lh;  
15A7;  CANADIAN SYLLABICS TH-CREE THE;  15A7;  1;  <0398>;  e;  
15A8;  CANADIAN SYLLABICS TH-CREE THI;  15A7;  3;  <0398>;  i;  
15A9;  CANADIAN SYLLABICS TH-CREE THII;  15A7;  4;  <0398>;  i<02D0>;  
15AA;  CANADIAN SYLLABICS TH-CREE THO;  15A7;  5;  <0398>;  o;  
15AB;  CANADIAN SYLLABICS TH-CREE THOO;  15A7;  6;  <0398>;  o<02D0>;  
15AC;  CANADIAN SYLLABICS TH-CREE THA;  15A7;  7;  <0398>;  a;  
15AD;  CANADIAN SYLLABICS TH-CREE THAA;  15A7;  8;  <0398>;  a<02D0>;  
15AE;  CANADIAN SYLLABICS TH-CREE TH;  15A7;  16;  <0398>;  
15AF;  CANADIAN SYLLABICS AIVILIK B;  15AF;  16;  b;  
15B0;  CANADIAN SYLLABICS BLACKFOOT E;  15B0;  1;  ;  e;  
15B1;  CANADIAN SYLLABICS BLACKFOOT I;  15B0;  3;  ;  i;  
15B2;  CANADIAN SYLLABICS BLACKFOOT O;  15B0;  5;  ;  o;  
15B3;  CANADIAN SYLLABICS BLACKFOOT A;  15B0;  7;  ;  a;  
15B4;  CANADIAN SYLLABICS BLACKFOOT WE;  15B0;  1;  ;  e;  
15B5;  CANADIAN SYLLABICS BLACKFOOT WI;  15B0;  3;  ;  i;  
15B6;  CANADIAN SYLLABICS BLACKFOOT WO;  15B0;  5;  ;  o;  
15B7;  CANADIAN SYLLABICS BLACKFOOT WA;  15B0;  7;  ;  a;  
15B8;  CANADIAN SYLLABICS BLACKFOOT NE;  15B8;  1;  n;  e;  
15B9;  CANADIAN SYLLABICS BLACKFOOT NI;  15B8;  3;  n;  i;  
15BA;  CANADIAN SYLLABICS BLACKFOOT NO;  15B8;  5;  n;  o;  
15BB;  CANADIAN SYLLABICS BLACKFOOT NA;  15B8;  7;  n;  a;  
15BC;  CANADIAN SYLLABICS BLACKFOOT KE;  15BC;  1;  k;  e;  
15BD;  CANADIAN SYLLABICS BLACKFOOT KI;  15BC;  3;  k;  i;  
15BE;  CANADIAN SYLLABICS BLACKFOOT KO;  15BC;  5;  k;  o;  
15BF;  CANADIAN SYLLABICS BLACKFOOT KA;  15BC;  7;  k;  a;  
15C0;  CANADIAN SYLLABICS SAYISI HE;  15C0;  1;  h;  e;  
15C1;  CANADIAN SYLLABICS SAYISI HI;  15C0;  3;  h;  i;  
15C2;  CANADIAN SYLLABICS SAYISI HO;  15C0;  5;  h;  o;  
15C3;  CANADIAN SYLLABICS SAYISI HA;  15C0;  7;  h;  a;  
15C4;  CANADIAN SYLLABICS CARRIER GHU;  15C4;  18;  gh;  u;  
15C5;  CANADIAN SYLLABICS CARRIER GHO;  15C4;  5;  gh;  o;  
15C6;  CANADIAN SYLLABICS CARRIER GHE;  15C4;  1;  gh;  e;  
15C7;  CANADIAN SYLLABICS CARRIER GHEE;  15C4;  19;  gh;  e<02D0>;  
15C8;  CANADIAN SYLLABICS CARRIER GHI;  15C4;  3;  gh;  i;  
15C9;  CANADIAN SYLLABICS CARRIER GHA;  15C4;  7;  gh;  a;  
15CA;  CANADIAN SYLLABICS CARRIER RU;  15CA;  18;  r;  u;  
15CB;  CANADIAN SYLLABICS CARRIER RO;  15CA;  5;  r;  o;  
15CC;  CANADIAN SYLLABICS CARRIER RE;  15CA;  1;  r;  e;  
15CD;  CANADIAN SYLLABICS CARRIER REE;  15CA;  19;  r;  e<02D0>;  
15CE;  CANADIAN SYLLABICS CARRIER RI;  15CA;  3;  r;  i;  
15CF;  CANADIAN SYLLABICS CARRIER RA;  15CA;  7;  r;  a;  
15D0;  CANADIAN SYLLABICS CARRIER WU;  15D0;  18;  w;  u;  
15D1;  CANADIAN SYLLABICS CARRIER WO;  15D0;  5;  w;  o;  
15D2;  CANADIAN SYLLABICS CARRIER WE;  15D0;  1;  w;  e;  
15D3;  CANADIAN SYLLABICS CARRIER WEE;  15D0;  19;  w;  e<02D0>;  
15D4;  CANADIAN SYLLABICS CARRIER WI;  15D0;  3;  w;  i;  
15D5;  CANADIAN SYLLABICS CARRIER WA;  15D0;  7;  w;  a;  
15D6;  CANADIAN SYLLABICS CARRIER HWU;  15D6;  20;  h;  <02B7>u;  
15D7;  CANADIAN SYLLABICS CARRIER HWO;  15D6;  12;  h;  <02B7>o;  
15D8;  CANADIAN SYLLABICS CARRIER HWE;  15D6;  9;  h;  <02B7>e;  
15D9;  CANADIAN SYLLABICS CARRIER HWEE;  15D6;  21;  h;  <02B7>e<02D0>;  
15DA;  CANADIAN SYLLABICS CARRIER HWI;  15D6;  10;  h;  <02B7>i;  
15DB;  CANADIAN SYLLABICS CARRIER HWA;  15D6;  14;  h;  <02B7>a;  
15DC;  CANADIAN SYLLABICS CARRIER THU;  15DC;  18;  <0398>;  u;  
15DD;  CANADIAN SYLLABICS CARRIER THO;  15DC;  5;  <0398>;  o;  
15DE;  CANADIAN SYLLABICS CARRIER THE;  15DC;  1;  <0398>;  e;  
15DF;  CANADIAN SYLLABICS CARRIER THEE;  15DC;  19;  <0398>;  e<02D0>;  
15E0;  CANADIAN SYLLABICS CARRIER THI;  15DC;  3;  <0398>;  i;  
15E1;  CANADIAN SYLLABICS CARRIER THA;  15DC;  7;  <0398>;  a;  
15E2;  CANADIAN SYLLABICS CARRIER TTU;  15E2;  18;  tt;  u;  
15E3;  CANADIAN SYLLABICS CARRIER TTO;  15E2;  5;  tt;  o;  
15E4;  CANADIAN SYLLABICS CARRIER TTE;  15E2;  1;  tt;  e;  
15E5;  CANADIAN SYLLABICS CARRIER TTEE;  15E2;  19;  tt;  e<02D0>;  
15E6;  CANADIAN SYLLABICS CARRIER TTI;  15E2;  3;  tt;  i;  
15E7;  CANADIAN SYLLABICS CARRIER TTA;  15E2;  7;  tt;  a;  
15E8;  CANADIAN SYLLABICS CARRIER PU;  15E8;  18;  p;  u;  
15E9;  CANADIAN SYLLABICS CARRIER PO;  15E8;  5;  p;  o;  
15EA;  CANADIAN SYLLABICS CARRIER PE;  15E8;  1;  p;  e;  
15EB;  CANADIAN SYLLABICS CARRIER PEE;  15E8;  19;  p;  e<02D0>;  
15EC;  CANADIAN SYLLABICS CARRIER PI;  15E8;  3;  p;  i;  
15ED;  CANADIAN SYLLABICS CARRIER PA;  15E8;  7;  p;  a;  
15EE;  CANADIAN SYLLABICS CARRIER P;  15E8;  16;  p;  
15EF;  CANADIAN SYLLABICS CARRIER GU;  15EF;  18;  g;  u;  
15F0;  CANADIAN SYLLABICS CARRIER GO;  15EF;  5;  g;  o;  
15F1;  CANADIAN SYLLABICS CARRIER GE;  15EF;  1;  g;  e;  
15F2;  CANADIAN SYLLABICS CARRIER GEE;  15EF;  19;  g;  e<02D0>;  
15F3;  CANADIAN SYLLABICS CARRIER GI;  15EF;  3;  g;  i;  
15F4;  CANADIAN SYLLABICS CARRIER GA;  15EF;  7;  g;  a;  
15F5;  CANADIAN SYLLABICS CARRIER KHU;  15F5;  18;  kh;  u;  
15F6;  CANADIAN SYLLABICS CARRIER KHO;  15F5;  5;  kh;  o;  
15F7;  CANADIAN SYLLABICS CARRIER KHE;  15F5;  1;  kh;  e;  
15F8;  CANADIAN SYLLABICS CARRIER KHEE;  15F5;  19;  kh;  e<02D0>;  
15F9;  CANADIAN SYLLABICS CARRIER KHI;  15F5;  3;  kh;  i;  
15FA;  CANADIAN SYLLABICS CARRIER KHA;  15F5;  7;  kh;  a;  
15FB;  CANADIAN SYLLABICS CARRIER KKU;  15FB;  18;  kk;  u;  
15FC;  CANADIAN SYLLABICS CARRIER KKO;  15FB;  5;  kk;  o;  
15FD;  CANADIAN SYLLABICS CARRIER KKE;  15FB;  1;  kk;  e;  
15FE;  CANADIAN SYLLABICS CARRIER KKEE;  15FB;  19;  kk;  e<02D0>;  
15FF;  CANADIAN SYLLABICS CARRIER KKI;  15FB;  3;  kk;  i;  
1600;  CANADIAN SYLLABICS CARRIER KKA;  15FB;  7;  kk;  a;  
1601;  CANADIAN SYLLABICS CARRIER KK;  15FB;  16;  kk;  
1602;  CANADIAN SYLLABICS CARRIER NU;  1602;  18;  n;  u;  
1603;  CANADIAN SYLLABICS CARRIER NO;  1602;  5;  n;  o;  
1604;  CANADIAN SYLLABICS CARRIER NE;  1602;  1;  n;  e;  
1605;  CANADIAN SYLLABICS CARRIER NEE;  1602;  19;  n;  e<02D0>;  
1606;  CANADIAN SYLLABICS CARRIER NI;  1602;  3;  n;  i;  
1607;  CANADIAN SYLLABICS CARRIER NA;  1602;  7;  n;  a;  
1608;  CANADIAN SYLLABICS CARRIER MU;  1608;  18;  m;  u;  
1609;  CANADIAN SYLLABICS CARRIER MO;  1608;  5;  m;  o;  
160A;  CANADIAN SYLLABICS CARRIER ME;  1608;  1;  m;  e;  
160B;  CANADIAN SYLLABICS CARRIER MEE;  1608;  19;  m;  e<02D0>;  
160C;  CANADIAN SYLLABICS CARRIER MI;  1608;  3;  m;  i;  
160D;  CANADIAN SYLLABICS CARRIER MA;  1608;  7;  m;  a;  
160E;  CANADIAN SYLLABICS CARRIER YU;  160E;  18;  j;  u;  
160F;  CANADIAN SYLLABICS CARRIER YO;  160E;  5;  j;  o;  
1610;  CANADIAN SYLLABICS CARRIER YE;  160E;  1;  j;  e;  
1611;  CANADIAN SYLLABICS CARRIER YEE;  160E;  19;  j;  e<02D0>;  
1612;  CANADIAN SYLLABICS CARRIER YI;  160E;  3;  j;  i;  
1613;  CANADIAN SYLLABICS CARRIER YA;  160E;  7;  j;  a;  
1614;  CANADIAN SYLLABICS CARRIER JU;  1614;  18;  <02A4>;  u;  
1615;  CANADIAN SYLLABICS SAYISI JU;  1614;  18;  <02A4>;  u;  
1616;  CANADIAN SYLLABICS CARRIER JO;  1614;  5;  <02A4>;  o;  
1617;  CANADIAN SYLLABICS CARRIER JE;  1614;  1;  <02A4>;  e;  
1618;  CANADIAN SYLLABICS CARRIER JEE;  1614;  19;  <02A4>;  e<02D0>;  
1619;  CANADIAN SYLLABICS CARRIER JI;  1614;  3;  <02A4>;  i;  
161A;  CANADIAN SYLLABICS SAYISI JI;  1614;  3;  <02A4>;  i;  
161B;  CANADIAN SYLLABICS CARRIER JA;  1614;  7;  <02A4>;  a;  
161C;  CANADIAN SYLLABICS CARRIER JJU;  161C;  18;  <02A4><02A4>;  u;  
161D;  CANADIAN SYLLABICS CARRIER JJO;  161C;  5;  <02A4><02A4>;  o;  
161E;  CANADIAN SYLLABICS CARRIER JJE;  161C;  1;  <02A4><02A4>;  e;  
161F;  CANADIAN SYLLABICS CARRIER JJEE;  161C;  19;  <02A4><02A4>;  e<02D0>;  
1620;  CANADIAN SYLLABICS CARRIER JJI;  161C;  3;  <02A4><02A4>;  i;  
1621;  CANADIAN SYLLABICS CARRIER JJA;  161C;  7;  <02A4><02A4>;  a;  
1622;  CANADIAN SYLLABICS CARRIER LU;  1622;  18;  l;  u;  
1623;  CANADIAN SYLLABICS CARRIER LO;  1622;  5;  l;  o;  
1624;  CANADIAN SYLLABICS CARRIER LE;  1622;  1;  l;  e;  
1625;  CANADIAN SYLLABICS CARRIER LEE;  1622;  19;  l;  e<02D0>;  
1626;  CANADIAN SYLLABICS CARRIER LI;  1622;  3;  l;  i;  
1627;  CANADIAN SYLLABICS CARRIER LA;  1622;  7;  l;  a;  
1628;  CANADIAN SYLLABICS CARRIER DLU;  1628;  18;  dl;  u;  
1629;  CANADIAN SYLLABICS CARRIER DLO;  1628;  5;  dl;  o;  
162A;  CANADIAN SYLLABICS CARRIER DLE;  1628;  1;  dl;  e;  
162B;  CANADIAN SYLLABICS CARRIER DLEE;  1628;  19;  dl;  e<02D0>;  
162C;  CANADIAN SYLLABICS CARRIER DLI;  1628;  3;  dl;  i;  
162D;  CANADIAN SYLLABICS CARRIER DLA;  1628;  7;  dl;  a;  
162E;  CANADIAN SYLLABICS CARRIER LHU;  162E;  18;  lh;  u;  
162F;  CANADIAN SYLLABICS CARRIER LHO;  162E;  5;  lh;  o;  
1630;  CANADIAN SYLLABICS CARRIER LHE;  162E;  1;  lh;  e;  
1631;  CANADIAN SYLLABICS CARRIER LHEE;  162E;  19;  lh;  e<02D0>;  
1632;  CANADIAN SYLLABICS CARRIER LHI;  162E;  3;  lh;  i;  
1633;  CANADIAN SYLLABICS CARRIER LHA;  162E;  7;  lh;  a;  
1634;  CANADIAN SYLLABICS CARRIER TLHU;  1634;  18;  tlh;  u;  
1635;  CANADIAN SYLLABICS CARRIER TLHO;  1634;  5;  tlh;  o;  
1636;  CANADIAN SYLLABICS CARRIER TLHE;  1634;  1;  tlh;  e;  
1637;  CANADIAN SYLLABICS CARRIER TLHEE;  1634;  19;  tlh;  e<02D0>;  
1638;  CANADIAN SYLLABICS CARRIER TLHI;  1634;  3;  tlh;  i;  
1639;  CANADIAN SYLLABICS CARRIER TLHA;  1634;  7;  tlh;  a;  
163A;  CANADIAN SYLLABICS CARRIER TLU;  163A;  18;  tl;  u;  
163B;  CANADIAN SYLLABICS CARRIER TLO;  163A;  5;  tl;  o;  
163C;  CANADIAN SYLLABICS CARRIER TLE;  163A;  1;  tl;  e;  
163D;  CANADIAN SYLLABICS CARRIER TLEE;  163A;  19;  tl;  e<02D0>;  
163E;  CANADIAN SYLLABICS CARRIER TLI;  163A;  3;  tl;  i;  
163F;  CANADIAN SYLLABICS CARRIER TLA;  163A;  7;  tl;  a;  
1640;  CANADIAN SYLLABICS CARRIER ZU;  1640;  18;  z;  u;  
1641;  CANADIAN SYLLABICS CARRIER ZO;  1640;  5;  z;  o;  
1642;  CANADIAN SYLLABICS CARRIER ZE;  1640;  1;  z;  e;  
1643;  CANADIAN SYLLABICS CARRIER ZEE;  1640;  19;  z;  e<02D0>;  
1644;  CANADIAN SYLLABICS CARRIER ZI;  1640;  3;  z;  i;  
1645;  CANADIAN SYLLABICS CARRIER ZA;  1640;  7;  z;  a;  
1646;  CANADIAN SYLLABICS CARRIER Z;  1640;  16;  z;  
1647;  CANADIAN SYLLABICS CARRIER INITIAL Z;  1640;  16;  z;  
1648;  CANADIAN SYLLABICS CARRIER DZU;  1648;  18;  <02A3>;  u;  
1649;  CANADIAN SYLLABICS CARRIER DZO;  1648;  5;  <02A3>;  o;  
164A;  CANADIAN SYLLABICS CARRIER DZE;  1648;  1;  <02A3>;  e;  
164B;  CANADIAN SYLLABICS CARRIER DZEE;  1648;  19;  <02A3>;  e<02D0>;  
164C;  CANADIAN SYLLABICS CARRIER DZI;  1648;  3;  <02A3>;  i;  
164D;  CANADIAN SYLLABICS CARRIER DZA;  1648;  7;  <02A3>;  a;  
164E;  CANADIAN SYLLABICS CARRIER SU;  164E;  18;  s;  u;  
164F;  CANADIAN SYLLABICS CARRIER SO;  164E;  5;  s;  o;  
1650;  CANADIAN SYLLABICS CARRIER SE;  164E;  1;  s;  e;  
1651;  CANADIAN SYLLABICS CARRIER SEE;  164E;  19;  s;  e<02D0>;  
1652;  CANADIAN SYLLABICS CARRIER SI;  164E;  3;  s;  i;  
1653;  CANADIAN SYLLABICS CARRIER SA;  164E;  7;  s;  a;  
1654;  CANADIAN SYLLABICS CARRIER SHU;  1654;  18;  <0283>;  u;  
1655;  CANADIAN SYLLABICS CARRIER SHO;  1654;  5;  <0283>;  o;  
1656;  CANADIAN SYLLABICS CARRIER SHE;  1654;  1;  <0283>;  e;  
1657;  CANADIAN SYLLABICS CARRIER SHEE;  1654;  19;  <0283>;  e<02D0>;  
1658;  CANADIAN SYLLABICS CARRIER SHI;  1654;  3;  <0283>;  i;  
1659;  CANADIAN SYLLABICS CARRIER SHA;  1654;  7;  <0283>;  a;  
165A;  CANADIAN SYLLABICS CARRIER SH;  1654;  16;  <0283>;  
165B;  CANADIAN SYLLABICS CARRIER TSU;  165B;  18;  <02A6>;  u;  
165C;  CANADIAN SYLLABICS CARRIER TSO;  165B;  5;  <02A6>;  o;  
165D;  CANADIAN SYLLABICS CARRIER TSE;  165B;  1;  <02A6>;  e;  
165E;  CANADIAN SYLLABICS CARRIER TSEE;  165B;  19;  <02A6>;  e<02D0>;  
165F;  CANADIAN SYLLABICS CARRIER TSI;  165B;  3;  <02A6>;  i;  
1660;  CANADIAN SYLLABICS CARRIER TSA;  165B;  7;  <02A6>;  a;  
1661;  CANADIAN SYLLABICS CARRIER CHU;  1661;  18;  <02A7>;  u;  
1662;  CANADIAN SYLLABICS CARRIER CHO;  1661;  5;  <02A7>;  o;  
1663;  CANADIAN SYLLABICS CARRIER CHE;  1661;  1;  <02A7>;  e;  
1664;  CANADIAN SYLLABICS CARRIER CHEE;  1661;  19;  <02A7>;  e<02D0>;  
1665;  CANADIAN SYLLABICS CARRIER CHI;  1661;  3;  <02A7>;  i;  
1666;  CANADIAN SYLLABICS CARRIER CHA;  1661;  7;  <02A7>;  a;  
1667;  CANADIAN SYLLABICS CARRIER TTSU;  1667;  18;  tts;  u;  
1668;  CANADIAN SYLLABICS CARRIER TTSO;  1667;  5;  tts;  o;  
1669;  CANADIAN SYLLABICS CARRIER TTSE;  1667;  1;  tts;  e;  
166A;  CANADIAN SYLLABICS CARRIER TTSEE;  1667;  19;  tts;  e<02D0>;  
166B;  CANADIAN SYLLABICS CARRIER TTSI;  1667;  3;  tts;  i;  
166C;  CANADIAN SYLLABICS CARRIER TTSA;  1667;  7;  tts;  a;  
166F;  CANADIAN SYLLABICS QAI;  166F;  17;  q;  ai;  
1670;  CANADIAN SYLLABICS NGAI;  1670;  17;  <014B>;  ai;  
1671;  CANADIAN SYLLABICS NNGI;  1671;  3;  nng;  i;  
1672;  CANADIAN SYLLABICS NNGII;  1671;  4;  nng;  i<02D0>;  
1673;  CANADIAN SYLLABICS NNGO;  1671;  5;  nng;  o;  
1674;  CANADIAN SYLLABICS NNGOO;  1671;  6;  nng;  o<02D0>;  
1675;  CANADIAN SYLLABICS NNGA;  1671;  7;  nng;  a;  
1676;  CANADIAN SYLLABICS NNGAA;  1671;  8;  nng;  a<02D0>;  
